,experiment,dice_score
127,Study-MCUNet-54216,75.74141854746544
128,Study-MCUNet-54466,69.24279729326219
129,Study-MCUNet-54731,83.59862811024263
130,Study-MCUNet-55510,84.75686871343521
131,Study-MCUNet-57454,79.45086042617542
132,Study-MCUNet-57656,78.63940956678826
133,Study-MCUNet-5820,80.1022135253852
134,Study-MCUNet-58312,70.0354191753812
135,Study-MCUNet-59545,77.32660406119332
136,Study-MCUNet-60726,80.24492751200339
137,Study-MCUNet-61382,77.47425221159712
138,Study-MCUNet-61452,5.86210551233673
139,Study-MCUNet-61754,80.83234067663709
140,Study-MCUNet-6182,69.38088729995663
141,Study-MCUNet-61886,79.00817431283865
142,Study-MCUNet-61935,85.17175820435615
143,Study-MCUNet-62350,72.94975767834212
144,Study-MCUNet-62356,77.72499790246205
145,Study-MCUNet-62372,77.62211473333373
146,Study-MCUNet-63198,76.61738836997235
147,Study-MCUNet-63237,8.24048524888728
148,Study-MCUNet-63622,15.0296453319722
149,Study-MCUNet-63799,85.59314712549185
150,Study-MCUNet-64268,84.02957832998706
151,Study-MCUNet-65,78.53614179481332
152,Study-MCUNet-65580,84.72761312454914
153,Study-MCUNet-65687,75.1049593114324
154,Study-MCUNet-65769,79.01784113566032
155,Study-MCUNet-65801,79.130761118226
156,Study-MCUNet-65818,75.35355486241849
157,Study-MCUNet-65860,76.64914688217674
158,Study-MCUNet-65905,82.16523262020306
159,Study-MCUNet-66249,80.92453113044101
160,Study-MCUNet-67320,75.73603909738604
161,Study-MCUNet-67690,48.42341506862672
162,Study-MCUNet-67945,75.38455413599301
163,Study-MCUNet-68029,80.18136885025629
164,Study-MCUNet-6842,76.83104350915691
165,Study-MCUNet-68617,76.8919221455345
166,Study-MCUNet-68640,76.21542819157888
167,Study-MCUNet-68647,83.3581382560544
168,Study-MCUNet-69111,87.91460106129738
169,Study-MCUNet-69422,81.97130344634719
170,Study-MCUNet-69641,78.5968595600447
171,Study-MCUNet-69741,78.62781581581196
172,Study-MCUNet-69781,74.3647126080902
173,Study-MCUNet-69800,60.903969151109216
174,Study-MCUNet-69886,76.65050201341838
175,Study-MCUNet-70022,86.59505123163025
176,Study-MCUNet-70051,16.53326153037922
177,Study-MCUNet-71122,79.42774370595336
178,Study-MCUNet-71624,79.15420873657844
179,Study-MCUNet-71712,76.06704838726756
180,Study-MCUNet-71781,79.00878771715142
181,Study-MCUNet-71787,77.4451589945989
182,Study-MCUNet-718,84.70494569410512
183,Study-MCUNet-71955,77.26529938723603
184,Study-MCUNet-72350,73.24790944408305
185,Study-MCUNet-72510,63.76385271680797
186,Study-MCUNet-72755,76.46591239066993
187,Study-MCUNet-73667,78.42597363762694
188,Study-MCUNet-73837,72.10166513502278
189,Study-MCUNet-74144,86.53814950793199
190,Study-MCUNet-74419,82.41133208331995
191,Study-MCUNet-74556,72.92289363340755
192,Study-MCUNet-74888,75.39100065472154
193,Study-MCUNet-74994,78.03292481854804
194,Study-MCUNet-76115,78.38267083659409
195,Study-MCUNet-76872,76.45278757610112
196,Study-MCUNet-76982,80.47133307167852
197,Study-MCUNet-77000,83.93245682083233
198,Study-MCUNet-77134,78.90476314622713
199,Study-MCUNet-77461,80.26290888081517
200,Study-MCUNet-77996,77.67769056372205
201,Study-MCUNet-78280,82.1957009180675
202,Study-MCUNet-78293,80.09732756756645
203,Study-MCUNet-78572,65.39283989453915
204,Study-MCUNet-78591,79.662369276428
205,Study-MCUNet-7884,77.64388242666153
206,Study-MCUNet-79067,67.06723786103876
207,Study-MCUNet-79287,36.19316972994248
208,Study-MCUNet-79740,81.21001887422055
209,Study-MCUNet-7980,79.86050038040469
210,Study-MCUNet-80520,70.26990371537963
211,Study-MCUNet-81020,79.06322217102719
212,Study-MCUNet-81108,80.86638407197759
213,Study-MCUNet-81452,82.76010086456833
214,Study-MCUNet-81689,45.88849252192606
215,Study-MCUNet-8195,56.515779172502725
216,Study-MCUNet-82326,78.30086657440734
217,Study-MCUNet-82488,78.78215367789869
218,Study-MCUNet-82720,80.40507137754302
